datapath   port   port-speed(B/s)
03          1        1970.6
03          2        1336.0

04          1        2028.3
04          2        2028.3

05          1        2030.3
05          2        1333.3

06          1        1333.3
06          2        2730.3

07          1        1317.4
07          2        2574.9
07          3        2634.7
07          4        1317.4
07          5          59.9

08          1        2544.5
08          2        1336.0

datapath   port   port-speed(B/s)
01          1           0.0
01          2           0.0
01          3        1318.7
01          4        2574.4
01          5        2008.0
01          6        2637.4

02          1        1320.0
02          2        2010.0

03          1        2010.0
03          2        1380.0

04          1        2010.0
04          2        1947.0

05          1        1947.0
05          2        1380.0

06          1        1381.4
06          2        2516.5

07          1        1380.0
07          2        2577.0
07          3        2577.0
07          4        1380.0
07          5          60.0

08          1        2640.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1          58.5
01          2          58.5
01          3        1346.3
01          4        2575.6
01          5        1961.0
01          6        2575.6

02          1        1341.1
02          2        1953.4

03          1        1959.1
03          2        1286.5

04          1        1951.5
04          2        1951.5

05          1        1951.5
05          2        1339.8

06          1        1346.3
06          2        2517.1

07          1        1282.8
07          2        2565.6
07          3        2507.3
07          4        1282.8
07          5           0.0

08          1        2573.1
08          2        1286.5

datapath   port   port-speed(B/s)
01          1          61.2
01          2          61.2
01          3        1408.2
01          4        2693.9
01          5        2051.0
01          6        2568.4

02          1        1412.5
02          2        1995.9

03          1        1989.8
03          2        1408.2

04          1        2057.3
04          2        2057.3

05          1        2057.3
05          2        1412.5

06          1        1403.9
06          2        2685.7

07          1        1412.5
07          2        2699.4
07          3        2699.4
07          4        1411.0
07          5          61.3

08          1        2632.7
08          2        1408.2

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1316.1
01          4        2572.3
01          5        1944.2
01          6        2572.3

02          1        1316.1
02          2        2004.0

03          1        2006.0
03          2        1314.4

04          1        1946.1
04          2        2006.0

05          1        2004.0
05          2        1375.9

06          1        1377.2
06          2        2634.7

07          1        1313.1
07          2        2574.9
07          3        2634.7
07          4        1377.2
07          5          59.9

08          1        2509.5
08          2        1375.9

datapath   port   port-speed(B/s)
01          1          60.0
01          2          59.9
01          3        1252.7
01          4        2640.0
01          5        1947.0
01          6        2577.0

02          1        1254.0
02          2        1947.0

03          1        1945.1
03          2        1378.6

04          1        1947.0
04          2        1950.0

05          1        1952.0
05          2        1321.3

06          1        1321.3
06          2        2582.6

07          1        1380.0
