datapath   port   port-speed(B/s)
05          2        1942.2

06          1        1944.2
06          2        1375.9

07          1        1375.9
07          2        3260.2
07          3        1375.9
07          4        1375.9
07          5          69.8

08          1        1944.2
08          2        1375.9

datapath   port   port-speed(B/s)
01          1       19066.8
01          2          59.8
01          3        2629.5
01          4       14370.9
01          5        3197.2
01          6        2004.0

02          1        2632.1
02          2        1941.2

03          1        2004.0
03          2        1316.1

04          1        3200.4
04          2        2572.3

05          1        2574.9
05          2        2006.0

06          1        2004.0
06          2        1375.9

07          1        1316.1
07          2       14370.9
07          3        1375.9
07          4        1375.9
07          5       11170.5

08          1        2004.0
08          2        1375.9

datapath   port   port-speed(B/s)
01          1      691312.1
01          2          59.8
01          3        2634.7
01          4      574109.7
01          5        3263.5
01          6        2004.0

02          1        2634.7
02          2        1885.1

03          1        1944.2
03          2        1375.9

04          1        3266.7
04          2        2637.4

05          1        2637.4
05          2        2008.0

06          1        2008.0
06          2        1318.7

07          1        1377.2
07          2      574745.5
07          3        1317.4
07          4        1317.4
07          5      551966.1

08          1        2004.0
08          2        1316.1

datapath   port   port-speed(B/s)
01          1      1204944.2
01          2           0.0
01          3        2569.3
01          4      1001822.5
01          5        3197.4
01          6        2004.0

02          1        2566.7
02          2        2002.0

03          1        1941.2
03          2        1316.1

04          1        3253.7
04          2        2626.9

05          1        2626.9
05          2        2000.0

06          1        2000.0
06          2        1313.4

07          1        1314.7
07          2      1003712.2
07          3        1314.7
07          4        1374.5
07          5      1002270.9

08          1        2004.0
08          2        1375.9

datapath   port   port-speed(B/s)
01          1      600499.0
01          2          59.8
01          3        2629.5
01          4      356896.4
01          5      233426.3
01          6        2002.0

02          1        2629.5
02          2        2002.0

03          1        2004.0
03          2        1375.9

04          1      233441.2
04          2      227977.1

05          1      227977.1
05          2      218657.4

06          1      221828.5
06          2      212696.9

07          1        1375.9
07          2      354299.1
07          3      212696.9
07          4        1316.1
07          5      574339.0

08          1        2004.0
08          2        1314.7

datapath   port   port-speed(B/s)
01          1      239101.6
01          2          59.8
01          3        2569.7
01          4        1314.7
01          5      261375.5
01          6        2002.0

02          1        2569.7
02          2        2002.0

03          1        2002.0
03          2        1374.5

04          1      261297.8
04          2      259727.1

05          1      259727.1
05          2      259174.3

06          1      256224.1
06          2      258469.1

07          1        1374.5
07          2        1314.7
07          3      258469.1
07          4        1374.5
07          5      255334.7

08          1        2002.0
08          2        1374.5

datapath   port   port-speed(B/s)
01          1      274495.0
01          2          59.8
01          3        2572.3
01          4        1377.2
01          5      255846.5
01          6        1946.1

02          1        2572.3
02          2        2004.0

03          1        2004.0
03          2        1375.9

04          1      256167.7
04          2      254727.8

05          1      254727.8
05          2      255375.9

06          1      255375.9
06          2      253148.6

07          1        1375.9
07          2        1375.9
07          3      253148.6
07          4        1375.9
07          5      251302.1

08          1        1944.2
08          2        1377.2

datapath   port   port-speed(B/s)
01          1      290705.2
01          2          59.8
01          3        2632.1
01          4        1374.5
01          5      254213.4
01          6        1942.2

02          1        2632.1
02          2        1944.2

03          1        1944.2
03          2        1375.9

04          1      253894.4
04          2      252270.2

05          1      252270.2
05          2      253346.0

06          1      253093.6
06          2      254039.8

07          1        1375.9
07          2        1375.9
07          3      252469.1
07          4        1375.9
07          5      248211.4

08          1        1942.2
08          2        1374.5

datapath   port   port-speed(B/s)
01          1      288370.9
01          2          59.8
01          3        2632.1
01          4        1375.9
01          5      254021.9
01          6        2004.0

02          1        2632.1
02          2        2004.0

03          1        2002.0
03          2        1314.7

04          1      255531.4
04          2      256406.8

05          1      256406.8
05          2      252825.5

06          1      252825.5
06          2      252260.2

07          1        1314.7
07          2        1374.5
07          3      253769.7
07          4        1374.5
07          5      250316.7

08          1        2004.0
08          2        1375.9

datapath   port   port-speed(B/s)
01          1      276558.3
01          2          59.8
01          3        2566.7
01          4        1375.9
01          5      255399.4
01          6        2004.0

02          1        2566.7
02          2        1879.5

03          1        1881.4
03          2        1250.2

04          1      254144.6
04          2      252075.8

05          1      251824.7
05          2      254272.9

06          1      254526.4
06          2      250693.9

07          1        1250.2
07          2        1375.9
07          3      250690.9
07          4        1375.9
07          5      250632.1

08          1        2004.0
08          2        1375.9

datapath   port   port-speed(B/s)
